Date,ON
2018-04-27,1.70438
2018-04-28,
2018-04-29,
2018-04-30,1.70369
2018-05-01,1.70438
2018-05-02,1.70438
2018-05-03,1.70438
2018-05-04,1.70563
2018-05-05,
2018-05-06,
2018-05-07,
2018-05-08,1.705
2018-05-09,1.705
2018-05-10,1.705
2018-05-11,1.70625
2018-05-12,
2018-05-13,
2018-05-14,1.705
2018-05-15,1.705
2018-05-16,1.70538
2018-05-17,1.706
2018-05-18,1.70725
2018-05-19,
2018-05-20,
2018-05-21,1.706
2018-05-22,1.7085
2018-05-23,1.70788
2018-05-24,1.7085
2018-05-25,1.70725
2018-05-26,
2018-05-27,
2018-05-28,
2018-05-29,1.7085
2018-05-30,1.71163
2018-05-31,1.71163
2018-06-01,1.712
2018-06-02,
2018-06-03,
2018-06-04,1.712
2018-06-05,1.712
2018-06-06,1.7135
2018-06-07,1.71438
2018-06-08,1.715
2018-06-09,
2018-06-10,
2018-06-11,1.71463
2018-06-12,1.71325
2018-06-13,1.71263
2018-06-14,1.93563
2018-06-15,1.92563
2018-06-16,
2018-06-17,
2018-06-18,1.9255
2018-06-19,1.92888
2018-06-20,1.93038
2018-06-21,1.92788
2018-06-22,1.928
2018-06-23,
2018-06-24,
2018-06-25,1.93163
2018-06-26,1.935
2018-06-27,1.93375
2018-06-28,1.93325
2018-06-29,1.93538
2018-06-30,
2018-07-01,
2018-07-02,1.92975
2018-07-03,1.92813
2018-07-04,
2018-07-05,1.92813
2018-07-06,1.92563
2018-07-07,
2018-07-08,
2018-07-09,1.92588
2018-07-10,1.91925
2018-07-11,1.91825
2018-07-12,1.91763
2018-07-13,1.91763
2018-07-14,
2018-07-15,
2018-07-16,1.91263
2018-07-17,1.91825
2018-07-18,1.91325
2018-07-19,1.91225
2018-07-20,1.9135
2018-07-21,
2018-07-22,
2018-07-23,1.91838
2018-07-24,1.91413
2018-07-25,1.91488
2018-07-26,1.91725
2018-07-27,1.91163
2018-07-28,
2018-07-29,
2018-07-30,1.916
2018-07-31,1.91538
2018-08-01,1.91563
2018-08-02,1.92025
2018-08-03,1.915
2018-08-04,
2018-08-05,
2018-08-06,1.92
2018-08-07,1.91338
2018-08-08,1.91625
2018-08-09,1.91625
2018-08-10,1.9125
2018-08-11,
2018-08-12,
2018-08-13,1.9125
2018-08-14,1.91325
2018-08-15,1.91375
2018-08-16,1.92
2018-08-17,1.91688
2018-08-18,
2018-08-19,
2018-08-20,1.9175
2018-08-21,1.91963
2018-08-22,1.91775
2018-08-23,1.91813
2018-08-24,1.91888
2018-08-25,
2018-08-26,
2018-08-27,
2018-08-28,1.91488
2018-08-29,1.91538
2018-08-30,1.92
2018-08-31,1.91488
2018-09-01,
2018-09-02,
2018-09-03,
2018-09-04,1.91363
2018-09-05,1.91875
2018-09-06,1.91838
2018-09-07,1.91875
2018-09-08,
2018-09-09,
2018-09-10,1.91913
2018-09-11,1.91513
2018-09-12,1.919
2018-09-13,1.91988
2018-09-14,1.91513
2018-09-15,
2018-09-16,
2018-09-17,1.91463
2018-09-18,1.91888
2018-09-19,1.91863
2018-09-20,1.91738
2018-09-21,1.92088
2018-09-22,
2018-09-23,
2018-09-24,1.918
2018-09-25,1.91625
2018-09-26,1.92525
2018-09-27,2.17388
2018-09-28,2.17138
2018-09-29,
2018-09-30,
2018-10-01,2.17075
2018-10-02,2.17725
2018-10-03,2.16813
2018-10-04,2.16525
2018-10-05,2.17175
2018-10-06,
2018-10-07,
2018-10-08,
2018-10-09,2.1655
2018-10-10,2.172
2018-10-11,2.17225
2018-10-12,2.16938
2018-10-13,
2018-10-14,
2018-10-15,2.17725
2018-10-16,2.17638
2018-10-17,2.176
2018-10-18,2.17025
2018-10-19,2.17113
2018-10-20,
2018-10-21,
2018-10-22,2.17063
2018-10-23,2.17388
2018-10-24,2.17513
2018-10-25,2.17425
2018-10-26,2.17675
2018-10-27,
2018-10-28,
2018-10-29,2.17888
2018-10-30,2.18
2018-10-31,2.173
2018-11-01,2.17538
2018-11-02,2.17463
2018-11-03,
2018-11-04,
2018-11-05,2.17525
2018-11-06,2.17663
2018-11-07,2.17725
2018-11-08,2.17988
2018-11-09,2.175
2018-11-10,
2018-11-11,
2018-11-12,
2018-11-13,2.17788
2018-11-14,2.17575
2018-11-15,2.17938
2018-11-16,2.17538
2018-11-17,
2018-11-18,
2018-11-19,2.18075
2018-11-20,2.17288
2018-11-21,2.1805
2018-11-22,
2018-11-23,2.177
2018-11-24,
2018-11-25,
2018-11-26,2.183
2018-11-27,2.1785
2018-11-28,2.1825
2018-11-29,2.18275
2018-11-30,2.1775
2018-12-01,
2018-12-02,
2018-12-03,2.18188
2018-12-04,2.17613
2018-12-05,2.17188
2018-12-06,2.18238
2018-12-07,2.18088
2018-12-08,
2018-12-09,
2018-12-10,2.182
2018-12-11,2.18213
2018-12-12,2.18475
2018-12-13,2.18438
2018-12-14,2.18475
2018-12-15,
2018-12-16,
2018-12-17,2.18125
2018-12-18,2.18025
2018-12-19,2.18175
2018-12-20,2.38788
2018-12-21,2.39163
2018-12-22,
2018-12-23,
2018-12-24,2.38988
2018-12-25,
2018-12-26,
2018-12-27,2.391
2018-12-28,2.39238
2018-12-29,
2018-12-30,
2018-12-31,2.37825
2019-01-01,
2019-01-02,2.38675
2019-01-03,2.39188
2019-01-04,2.394
2019-01-05,
2019-01-06,
2019-01-07,2.39275
2019-01-08,2.39125
2019-01-09,2.39075
2019-01-10,2.39413
2019-01-11,2.38938
2019-01-12,
2019-01-13,
2019-01-14,2.39013
2019-01-15,2.38675
2019-01-16,2.38488
2019-01-17,2.38463
2019-01-18,2.38388
2019-01-19,
2019-01-20,
2019-01-21,
2019-01-22,2.37563
2019-01-23,2.38413
2019-01-24,2.3845
2019-01-25,2.38475
2019-01-26,
2019-01-27,
2019-01-28,2.38488
2019-01-29,2.38438
2019-01-30,2.38388
2019-01-31,2.3835
2019-02-01,2.374
2019-02-02,
2019-02-03,
2019-02-04,2.38413
2019-02-05,2.38238
2019-02-06,2.38325
2019-02-07,2.38313
2019-02-08,2.38575
2019-02-09,
2019-02-10,
2019-02-11,2.38625
2019-02-12,2.3835
2019-02-13,2.38438
2019-02-14,2.38275
2019-02-15,2.387
2019-02-16,
2019-02-17,
2019-02-18,
2019-02-19,2.378
2019-02-20,2.38463
2019-02-21,2.3825
2019-02-22,2.38788
2019-02-23,
2019-02-24,
2019-02-25,2.38863
2019-02-26,2.38863
2019-02-27,2.38825
2019-02-28,2.38275
2019-03-01,2.38488
2019-03-02,
2019-03-03,
2019-03-04,2.38238
2019-03-05,2.39063
2019-03-06,2.39063
2019-03-07,2.38975
2019-03-08,2.38688
2019-03-09,
2019-03-10,
2019-03-11,2.39025
2019-03-12,2.39038
2019-03-13,2.39013
2019-03-14,2.39038
2019-03-15,2.39038
2019-03-16,
2019-03-17,
2019-03-18,2.38963
2019-03-19,2.39013
2019-03-20,2.38625
2019-03-21,2.38725
2019-03-22,2.389
2019-03-23,
2019-03-24,
2019-03-25,2.38938
2019-03-26,2.39388
2019-03-27,2.39213
2019-03-28,2.39275
2019-03-29,2.382
2019-03-30,
2019-03-31,
2019-04-01,2.38813
2019-04-02,2.38025
2019-04-03,2.38613
2019-04-04,2.39413
2019-04-05,2.39375
2019-04-06,
2019-04-07,
2019-04-08,2.39175
2019-04-09,2.393
2019-04-10,2.3885
2019-04-11,2.3885
2019-04-12,2.39225
2019-04-13,
2019-04-14,
2019-04-15,2.39263
2019-04-16,2.38913
2019-04-17,2.38563
2019-04-18,2.39113
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,
2019-04-23,2.40275
2019-04-24,2.39413
2019-04-25,2.39938
2019-04-26,2.4
2019-04-27,
2019-04-28,
2019-04-29,2.38975
2019-04-30,2.37913
2019-05-01,2.39188
2019-05-02,2.37313
2019-05-03,2.37788
2019-05-04,
2019-05-05,
2019-05-06,
2019-05-07,2.36313
2019-05-08,2.36275
2019-05-09,2.35888
2019-05-10,2.35638
2019-05-11,
2019-05-12,
2019-05-13,2.34513
2019-05-14,2.34338
2019-05-15,2.34913
2019-05-16,2.35938
2019-05-17,2.35575
2019-05-18,
2019-05-19,
2019-05-20,2.35938
2019-05-21,2.35538
2019-05-22,2.3545
2019-05-23,2.35625
2019-05-24,2.3565
2019-05-25,
2019-05-26,
2019-05-27,
2019-05-28,2.35388
2019-05-29,2.356
2019-05-30,2.35775
2019-05-31,2.3545
2019-06-01,
2019-06-02,
2019-06-03,2.36075
2019-06-04,2.36
2019-06-05,2.34538
2019-06-06,2.346
2019-06-07,2.35175
2019-06-08,
2019-06-09,
2019-06-10,2.345
2019-06-11,2.35088
2019-06-12,2.35038
2019-06-13,2.3505
2019-06-14,2.34663
2019-06-15,
2019-06-16,
2019-06-17,2.34438
2019-06-18,2.3495
2019-06-19,2.34088
2019-06-20,2.3415
2019-06-21,2.3475
2019-06-22,
2019-06-23,
2019-06-24,2.34925
2019-06-25,2.34475
2019-06-26,2.354
2019-06-27,2.35488
2019-06-28,2.37038
2019-06-29,
2019-06-30,
2019-07-01,2.35975
2019-07-02,2.35138
2019-07-03,2.35638
2019-07-04,
2019-07-05,2.34825
2019-07-06,
2019-07-07,
2019-07-08,2.35688
2019-07-09,2.35013
2019-07-10,2.35475
2019-07-11,2.359
2019-07-12,2.35913
2019-07-13,
2019-07-14,
2019-07-15,2.35713
2019-07-16,2.35663
2019-07-17,2.36275
2019-07-18,2.36063
2019-07-19,2.362
2019-07-20,
2019-07-21,
2019-07-22,2.35963
2019-07-23,2.35375
2019-07-24,2.35225
2019-07-25,2.349
2019-07-26,2.35038
2019-07-27,
2019-07-28,
2019-07-29,2.34863
2019-07-30,2.347
2019-07-31,2.35163
2019-08-01,2.11225
2019-08-02,2.10425
2019-08-03,
2019-08-04,
2019-08-05,2.10513
2019-08-06,2.09713
2019-08-07,2.09938
2019-08-08,2.09525
2019-08-09,2.09538
2019-08-10,
2019-08-11,
2019-08-12,2.10275
2019-08-13,2.09825
2019-08-14,2.09213
2019-08-15,2.09588
2019-08-16,2.0985
2019-08-17,
2019-08-18,
2019-08-19,2.09538
2019-08-20,2.097
2019-08-21,2.093
2019-08-22,2.09363
2019-08-23,2.08838
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,2.09575
2019-08-28,2.08663
2019-08-29,2.095
2019-08-30,2.08963
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,2.09063
2019-09-04,2.09125
2019-09-05,2.09763
2019-09-06,2.09475
2019-09-07,
2019-09-08,
2019-09-09,2.09388
2019-09-10,2.0925
2019-09-11,2.0945
2019-09-12,2.08825
2019-09-13,2.09475
2019-09-14,
2019-09-15,
2019-09-16,2.11163
2019-09-17,2.15488
2019-09-18,2.18525
2019-09-19,1.96213
2019-09-20,1.8685
2019-09-21,
2019-09-22,
2019-09-23,1.8475
2019-09-24,1.842
2019-09-25,1.84075
2019-09-26,1.82988
2019-09-27,1.82713
2019-09-28,
2019-09-29,
2019-09-30,1.8215
2019-10-01,1.82613
2019-10-02,1.85125
2019-10-03,1.82238
2019-10-04,1.82075
2019-10-05,
2019-10-06,
2019-10-07,1.80825
2019-10-08,1.8055
2019-10-09,1.79
2019-10-10,1.79263
2019-10-11,1.79888
2019-10-12,
2019-10-13,
2019-10-14,
2019-10-15,1.79513
2019-10-16,1.82575
2019-10-17,1.83813
2019-10-18,1.81513
2019-10-19,
2019-10-20,
2019-10-21,1.81113
2019-10-22,1.81288
2019-10-23,1.814
2019-10-24,1.80275
2019-10-25,1.806
2019-10-26,
2019-10-27,
2019-10-28,1.80163
2019-10-29,1.801
2019-10-30,1.80438
2019-10-31,1.59988
2019-11-01,1.59213
2019-11-02,
2019-11-03,
2019-11-04,1.55088
2019-11-05,1.54713
2019-11-06,1.5365
2019-11-07,1.54363
2019-11-08,1.53863
2019-11-09,
2019-11-10,
2019-11-11,
2019-11-12,1.53925
2019-11-13,1.539
2019-11-14,1.527
2019-11-15,1.53675
2019-11-16,
2019-11-17,
2019-11-18,1.53538
2019-11-19,1.53688
2019-11-20,1.529
2019-11-21,1.54138
2019-11-22,1.53388
2019-11-23,
2019-11-24,
2019-11-25,1.53613
2019-11-26,1.538
2019-11-27,1.53963
