"","date","daily.returns"
"145",2015-02-08,0.00186600547020777
"146",2015-02-09,0.00186252997907843
"147",2015-02-10,-0.00664680265872108
"148",2015-02-11,-0.00922934933087216
"149",2015-02-12,-0.000388138487812495
"150",2015-02-13,0.00504775957132875
"151",2015-02-14,-0.0252665739452944
"152",2015-02-15,-0.0259215219976219
"153",2015-02-16,0.00236002604166674
"154",2015-02-17,0.0383210197288302
"155",2015-02-18,-0.00656814449917908
"156",2015-02-19,0.00425029515938613
"157",2015-02-20,-0.00289991378634691
"158",2015-02-21,-0.00117905989624278
"159",2015-02-22,-0.00118045171952463
"160",2015-02-23,-0.00118184683265043
"161",2015-02-24,-0.00441744892324691
"162",2015-02-25,0.00229775770541174
"163",2015-02-26,0.00798418972332016
"164",2015-02-27,0.00258803231119131
"165",2015-02-28,-0.000938673341677077
"166",2015-03-01,-0.000939555277168824
"167",2015-03-02,-0.000940438871473437
"168",2015-03-03,-0.00125509883903352
"169",2015-03-04,-0.00282752120640917
"170",2015-03-05,-0.00354442344045369
"171",2015-03-06,-0.0241087661054462
"172",2015-03-07,0.00064798315243797
"173",2015-03-08,0.000647563542172769
"174",2015-03-09,0.000647144475004024
"175",2015-03-10,-0.00800323362974942
"176",2015-03-11,-0.00790481623339567
"177",2015-03-12,0.000492853622473977
"178",2015-03-13,-8.21018062396872e-05
"179",2015-03-14,0.000109478063333057
"180",2015-03-15,0.000109466079198706
"181",2015-03-16,0.000109454097687589
"182",2015-03-17,-0.00393991627677903
"183",2015-03-18,0.00247218788627945
"184",2015-03-19,0.00986436498150423
"185",2015-03-20,0.0123728123728124
"186",2015-03-21,0.000750448929270231
"187",2015-03-22,0.000749886177990655
"188",2015-03-23,0.000749324270078011
"189",2015-03-24,0.00296831127156039
"190",2015-03-25,0.00487921932490787
"191",2015-03-26,0.00772108572793129
"192",2015-03-27,-0.0040284360189573
"193",2015-03-28,-0.00409760224178501
"194",2015-03-29,-0.00411446166914409
"195",2015-03-30,-0.00413146040461665
"196",2015-03-31,-0.00337241047053161
"197",2015-04-01,0.0177247824685789
"198",2015-04-02,-0.00474984167194425
"199",2015-04-03,0
