Date,Gold,,,,,
2015-04-06,1274.4,,,,,
2015-04-07,1267.4,,,,,
2015-04-08,1260.1,,,,,
2015-04-09,1250.6,,,,,
2015-04-10,1262.3,,,,,
2015-04-11,,,,,,
2015-04-12,,,,,,
2015-04-13,1256.8,,,,,
2015-04-14,1247.1,,,,,
2015-04-15,1255.5,,,,,
2015-04-16,1252,,,,,
2015-04-17,1257.1,,,,,
2015-04-18,,,,,,
2015-04-19,,,,,,
2015-04-20,1248.3,,,,,
2015-04-21,1258.1,,,,,
2015-04-22,1243.7,,,,,
2015-04-23,1251,,,,,
2015-04-24,1229.4,,,,,
2015-04-25,,,,,,
2015-04-26,,,,,,
2015-04-27,1258.2,,,,,
2015-04-28,1270.4,,,,,
2015-04-29,1269,,,,,
2015-04-30,1242,,,,,
2015-05-01,1235.1,,,,,
2015-05-02,,,,,,
2015-05-03,,,,,,
2015-05-04,1248,,,,,
2015-05-05,1257.2,,,,,
2015-05-06,1255.7,,,,,
2015-05-07,1247.5,,,,,
2015-05-08,1251.5,,,,,
2015-05-09,,,,,,
2015-05-10,,,,,,
2015-05-11,1246.3,,,,,
2015-05-12,1256,,,,,
2015-05-13,1281.2,,,,,
2015-05-14,1288,,,,,
2015-05-15,1287.9,,,,,
2015-05-16,,,,,,
2015-05-17,,,,,,
2015-05-18,1290.2,,,,,
2015-05-19,1270.4,,,,,
2015-05-20,1272.5,,,,,
2015-05-21,1267.1,,,,,
2015-05-22,1268.7,,,,,
2015-05-23,,,,,,
2015-05-24,1204.4,,,,,
2015-05-25,1207.4,,,,,
2015-05-26,1251.2,,,,,
2015-05-27,1249.6,,,,,
2015-05-28,1251.5,,,,,
2015-05-29,1251.7,,,,,
2015-05-30,,,,,,
2015-05-31,,,,,,
2015-06-01,1251.4,,,,,
2015-06-02,1258.8,,,,,
2015-06-03,1250.9,,,,,
2015-06-04,1241.1,,,,,
2015-06-05,1237.6,,,,,
2015-06-06,,,,,,
2015-06-07,,,,,,
2015-06-08,1243,,,,,
2015-06-09,1247.8,,,,,
2015-06-10,1259.6,,,,,
2015-06-11,1253.6,,,,,
2015-06-12,1252,,,,,
2015-06-13,,,,,,
2015-06-14,,,,,,
2015-06-15,1256.8,,,,,
2015-06-16,1250.4,,,,,
2015-06-17,1247.9,,,,,
2015-06-18,1271.8,,,,,
2015-06-19,1270.4,,,,,
2015-06-20,,,,,,
2015-06-21,,,,,,
2015-06-22,1253.1,,,,,
2015-06-23,1245.8,,,,,
2015-06-24,1242,,,,,
2015-06-25,1241.3,,,,,
2015-06-26,1244.1,,,,,
2015-06-27,,,,,,
2015-06-28,,,,,,
2015-06-29,1249,,,,,
2015-06-30,1241.8,,,,,
2015-07-01,1239.5,,,,,
2015-07-02,1232.5,,,,,
2015-07-03,1167.8,,,,,
2015-07-04,,,,,,
2015-07-05,,,,,,
2015-07-06,1241.6,,,,,
2015-07-07,1220.5,,,,,
2015-07-08,1229.6,,,,,
2015-07-09,1226.1,,,,,
2015-07-10,1227.6,,,,,
2015-07-11,,,,,,
2015-07-12,,,,,,
2015-07-13,1226,,,,,
2015-07-14,1223.4,,,,,
2015-07-15,1217.3,,,,,
2015-07-16,1214.2,,,,,
2015-07-17,1201.7,,,,,
2015-07-18,,,,,,
2015-07-19,,,,,,
2015-07-20,1176.5,,,,,
2015-07-21,1170.5,,,,,
2015-07-22,1158.6,,,,,
2015-07-23,1161.1,,,,,
2015-07-24,1151,,,,,
2015-07-25,,,,,,
2015-07-26,,,,,,
2015-07-27,1161.6,,,,,
2015-07-28,1161.6,,,,,
2015-07-29,1158.5,,,,,
2015-07-30,1154.4,,,,,
2015-07-31,1154.1,,,,,
2015-08-01,,,,,,
2015-08-02,,,,,,
2015-08-03,1147.8,,,,,
2015-08-04,1149.7,,,,,
2015-08-05,1148.1,,,,,
2015-08-06,1152.6,,,,,
2015-08-07,1156.8,,,,,
2015-08-08,,,,,,
2015-08-09,,,,,,
2015-08-10,1166.8,,,,,
2015-08-11,1168.7,,,,,
2015-08-12,1184,,,,,
2015-08-13,1176.1,,,,,
2015-08-14,1173.3,,,,,
2015-08-15,,,,,,
2015-08-16,,,,,,
2015-08-17,1178.9,,,,,
2015-08-18,1177.3,,,,,
2015-08-19,1188.1,,,,,
2015-08-20,1213.2,,,,,
2015-08-21,1217.8,,,,,
2015-08-22,,,,,,
2015-08-23,,,,,,
2015-08-24,1209.9,,,,,
2015-08-25,1194.7,,,,,
2015-08-26,1180,,,,,
2015-08-27,1178.2,,,,,
2015-08-28,1189.4,,,,,
2015-08-29,,,,,,
2015-08-30,,,,,,
2015-08-31,1187.9,,,,,
2015-09-01,1192.3,,,,,
2015-09-02,1185.4,,,,,
2015-09-03,1174.5,,,,,
2015-09-04,1171.5,,,,,
2015-09-05,,,,,,
2015-09-06,1119.9,,,,,
2015-09-07,1119.9,,,,,
2015-09-08,1170.9,,,,,
2015-09-09,1151.7,,,,,
2015-09-10,1158.9,,,,,
2015-09-11,1152.9,,,,,
2015-09-12,,,,,,
2015-09-13,,,,,,
2015-09-14,1156.7,,,,,
2015-09-15,1151.5,,,,,
2015-09-16,1168.6,,,,,
2015-09-17,1167.2,,,,,
2015-09-18,1186.5,,,,,
2015-09-19,,,,,,
2015-09-20,,,,,,
2015-09-21,1181.8,,,,,
2015-09-22,1172.7,,,,,
2015-09-23,1179.4,,,,,
2015-09-24,1200.7,,,,,
2015-09-25,1192.6,,,,,
2015-09-26,,,,,,
2015-09-27,,,,,,
2015-09-28,1178.2,,,,,
2015-09-29,1172.9,,,,,
2015-09-30,1158.4,,,,,
2015-10-01,1156.9,,,,,
2015-10-02,1179,,,,,
2015-10-03,,,,,,
2015-10-04,,,,,,
2015-10-05,1178.3,,,,,
2015-10-06,1186.4,,,,,
2015-10-07,1189.1,,,,,
2015-10-08,1185,,,,,
2015-10-09,1197.5,,,,,
2015-10-10,,,,,,
2015-10-11,,,,,,
2015-10-12,1206.2,,,,,
2015-10-13,1206.9,,,,,
2015-10-14,1219.3,,,,,
2015-10-15,1227.1,,,,,
2015-10-16,1222.3,,,,,
2015-10-17,,,,,,
2015-10-18,,,,,,
2015-10-19,1212,,,,,
2015-10-20,1216.6,,,,,
2015-10-21,1205.4,,,,,
2015-10-22,1204.1,,,,,
2015-10-23,1200.1,,,,,
2015-10-24,,,,,,
2015-10-25,,,,,,
2015-10-26,1201.7,,,,,
2015-10-27,1199.8,,,,,
2015-10-28,1210.9,,,,,
2015-10-29,1183.4,,,,,
2015-10-30,1176.8,,,,,
2015-10-31,,,,,,
2015-11-01,,,,,,
2015-11-02,1172,,,,,
2015-11-03,1150.2,,,,,
2015-11-04,1142.8,,,,,
2015-11-05,1141.7,,,,,
2015-11-06,1129.5,,,,,
2015-11-07,,,,,,
2015-11-08,,,,,,
2015-11-09,1130.8,,,,,
2015-11-10,1131,,,,,
2015-11-11,1127,,,,,
2015-11-12,1122.9,,,,,
2015-11-13,1122.9,,,,,
2015-11-14,,,,,,
2015-11-15,,,,,,
2015-11-16,1124.1,,,,,
2015-11-17,1108.5,,,,,
2015-11-18,1108.5,,,,,
2015-11-19,1117.2,,,,,
2015-11-20,1115.4,,,,,
2015-11-21,,,,,,
2015-11-22,,,,,,
2015-11-23,1106.3,,,,,
2015-11-24,1113.2,,,,,
2015-11-25,1110,,,,,
2015-11-26,1070.8,,,,,
2015-11-27,1096.5,,,,,
2015-11-28,,,,,,
2015-11-29,,,,,,
2015-11-30,1105.9,,,,,
2015-12-01,1104,,,,,
2015-12-02,1094.4,,,,,
2015-12-03,1102.6,,,,,
2015-12-04,1125.2,,,,,
2015-12-05,,,,,,
2015-12-06,,,,,,
2015-12-07,1116.3,,,,,
2015-12-08,1116.4,,,,,
2015-12-09,1117.3,,,,,
2015-12-10,1112.7,,,,,
2015-12-11,1116.2,,,,,
2015-12-12,,,,,,
2015-12-13,,,,,,
2015-12-14,1103.8,,,,,
2015-12-15,1102.2,,,,,
2015-12-16,1117.7,,,,,
2015-12-17,1090.5,,,,,
2015-12-18,1105.7,,,,,
2015-12-19,,,,,,
2015-12-20,,,,,,
2015-12-21,1122.9,,,,,
2015-12-22,1116.4,,,,,
2015-12-23,1110.6,,,,,
2015-12-24,1118.3,,,,,
2015-12-25,,,,,,
2015-12-26,,,,,,
2015-12-27,,,,,,
2015-12-28,1110.5,,,,,
2015-12-29,1111,,,,,
2015-12-30,1103.2,,,,,
2015-12-31,1103.4,,,,,
2016-01-01,,,,,,
2016-01-02,,,,,,
2016-01-03,,,,,,
2016-01-04,1118.1,,,,,
2016-01-05,1121,,,,,
2016-01-06,1134.5,,,,,
2016-01-07,1145.3,,,,,
2016-01-08,1134.9,,,,,
2016-01-09,,,,,,
2016-01-10,,,,,,
2016-01-11,1131.7,,,,,
2016-01-12,1120.3,,,,,
2016-01-13,1120.6,,,,,
2016-01-14,1106.4,,,,,
2016-01-15,1121.6,,,,,
2016-01-16,,,,,,
2016-01-17,1090.3,,,,,
2016-01-18,1088.5,,,,,
2016-01-19,1119.9,,,,,
2016-01-20,1135.8,,,,,
2016-01-21,1127.7,,,,,
2016-01-22,1126.7,,,,,
2016-01-23,,,,,,
2016-01-24,,,,,,
2016-01-25,1136.5,,,,,
2016-01-26,1151.4,,,,,
2016-01-27,1148,,,,,
2016-01-28,1147.8,,,,,
2016-01-29,1146.2,,,,,
2016-01-30,,,,,,
2016-01-31,,,,,,
2016-02-01,1157.8,,,,,
2016-02-02,1156.4,,,,,
2016-02-03,1169.6,,,,,
2016-02-04,1184,,,,,
2016-02-05,1184.3,,,,,
2016-02-06,,,,,,
2016-02-07,,,,,,
2016-02-08,1224.5,,,,,
2016-02-09,1223.4,,,,,
2016-02-10,1219.3,,,,,
2016-02-11,1268.8,,,,,
2016-02-12,1257.9,,,,,
2016-02-13,,,,,,
2016-02-14,1233.6,,,,,
2016-02-15,1208.1,,,,,
2016-02-16,1227.8,,,,,
2016-02-17,1233.9,,,,,
2016-02-18,1249.2,,,,,
2016-02-19,1254.1,,,,,
2016-02-20,,,,,,
2016-02-21,,,,,,
2016-02-22,1233.4,,,,,
2016-02-23,1248.1,,,,,
2016-02-24,1263.8,,,,,
2016-02-25,1263.7,,,,,
2016-02-26,1245.5,,,,,
2016-02-27,,,,,,
2016-02-28,,,,,,
2016-02-29,1260,,,,,
2016-03-01,1257.9,,,,,
2016-03-02,1269.7,,,,,
2016-03-03,1287.4,,,,,
2016-03-04,1302.3,,,,,
2016-03-05,,,,,,
2016-03-06,,,,,,
2016-03-07,1297,,,,,
2016-03-08,1295.7,,,,,
2016-03-09,1290.1,,,,,
2016-03-10,1306.8,,,,,
2016-03-11,1295.3,,,,,
2016-03-12,,,,,,
2016-03-13,,,,,,
2016-03-14,1281.1,,,,,
2016-03-15,1266.9,,,,,
2016-03-16,1267.6,,,,,
2016-03-17,1300.8,,,,,
2016-03-18,1288.7,,,,,
2016-03-19,,,,,,
2016-03-20,,,,,,
2016-03-21,1279.4,,,,,
2016-03-22,1285.5,,,,,
