Date,Silver
2015-07-17,14.82
2015-07-16,14.964
2015-07-15,15.028
2015-07-14,15.295
2015-07-13,15.436
2015-07-12,15.615
2015-07-10,15.468
2015-07-09,15.345
2015-07-08,15.147
2015-07-07,14.95
2015-07-06,15.726
2015-07-05,15.685
2015-07-03,15.653
2015-07-02,15.537
2015-07-01,15.552
2015-06-30,15.551
2015-06-29,15.664
2015-06-28,15.928
2015-06-26,15.735
2015-06-25,15.805
2015-06-24,15.848
2015-06-23,15.732
2015-06-22,16.137
2015-06-21,16.078
2015-06-19,16.104
2015-06-18,16.148
2015-06-17,15.94
2015-06-16,15.958
2015-06-15,16.076
2015-06-14,15.983
2015-06-12,15.818
2015-06-11,15.953
2015-06-10,15.952
2015-06-09,15.949
2015-06-08,15.951
2015-06-07,15.993
2015-06-05,15.971
2015-06-04,16.089
2015-06-03,16.464
2015-06-02,16.783
2015-06-01,16.664
2015-05-31,16.703
2015-05-29,16.684
2015-05-28,16.653
2015-05-27,16.638
2015-05-26,16.734
2015-05-25,17.105
2015-05-24,17.025
2015-05-22,17.03
2015-05-21,17.111
2015-05-20,17.092
2015-05-19,17.05
2015-05-18,17.712
2015-05-17,17.56
2015-05-15,17.545
2015-05-14,17.449
2015-05-13,17.207
2015-05-12,16.51
2015-05-11,16.298
2015-05-10,16.468
2015-05-08,16.442
2015-05-07,16.272
2015-05-06,16.484
2015-05-05,16.557
2015-05-04,16.418
2015-05-03,16.175
2015-05-01,16.111
2015-04-30,16.124
2015-04-29,16.67
2015-04-28,16.587
2015-04-27,16.39
2015-04-26,15.77
2015-04-24,15.631
2015-04-23,15.824
2015-04-22,15.791
2015-04-21,16.002
2015-04-20,15.883
2015-04-19,16.313
2015-04-17,16.221
2015-04-16,16.276
2015-04-15,16.269
2015-04-14,16.151
2015-04-13,16.28
2015-04-12,16.46
2015-04-10,16.37
2015-04-09,16.164
2015-04-08,16.44
2015-04-07,16.825
2015-04-06,17.095
2015-04-05,17.072
2015-04-03,16.686
2015-04-02,16.686
2015-04-01,17.044
2015-03-31,16.581
2015-03-30,16.657
2015-03-29,16.91
2015-03-27,17.052
2015-03-26,17.122
2015-03-25,16.98
2015-03-24,16.963
2015-03-23,16.872
2015-03-22,16.798
2015-03-20,16.867
2015-03-19,16.098
2015-03-18,15.525
2015-03-17,15.562
2015-03-16,15.601
2015-03-15,15.585
2015-03-13,15.477
2015-03-12,15.493
2015-03-11,15.345
2015-03-10,15.613
2015-03-09,15.755
2015-03-08,15.843
2015-03-06,15.784
2015-03-05,16.132
2015-03-04,16.132
2015-03-03,16.258
2015-03-02,16.407
2015-03-01,16.623
2015-02-27,16.513
2015-02-26,16.583
2015-02-25,16.424
2015-02-24,16.182
2015-02-23,16.247
2015-02-22,16.252
2015-02-20,16.263
2015-02-19,16.371
2015-02-18,16.25
2015-02-17,16.362
2015-02-16,17.27
2015-02-15,17.307
2015-02-13,17.278
2015-02-12,16.778
2015-02-11,16.745
2015-02-10,16.857
2015-02-09,17.054
2015-02-08,16.74
2015-02-06,16.678
2015-02-05,17.18
2015-02-04,17.379
2015-02-03,17.305
2015-02-02,17.235
2015-02-01,17.173
2015-01-30,17.192
2015-01-29,16.758
2015-01-28,18.068
2015-01-27,18.068
2015-01-26,17.967
2015-01-25,18.392
2015-01-23,18.284
2015-01-22,18.346
2015-01-21,18.179
2015-01-20,17.947
2015-01-19,17.703
2015-01-18,17.81
2015-01-16,17.739
2015-01-15,17.073
2015-01-14,16.956
2015-01-13,17.125
2015-01-12,16.535
2015-01-11,16.64
2015-01-09,16.386
2015-01-08,16.351
2015-01-07,16.51
2015-01-06,16.603
2015-01-05,16.179
2015-01-04,15.74
2015-01-02,15.734
2015-01-01,15.813
2014-12-31,15.565
2014-12-30,16.24
2014-12-29,15.744
2014-12-28,16.06
2014-12-26,16.112
2014-12-25,15.805
2014-12-24,15.673
2014-12-23,15.73
2014-12-22,15.649
2014-12-21,16.085
2014-12-19,15.991
2014-12-18,15.894
2014-12-17,15.891
2014-12-16,15.715
2014-12-15,16.527
2014-12-14,17.048
2014-12-12,17.019
2014-12-11,17.059
2014-12-10,17.133
2014-12-09,17.081
2014-12-08,16.216
2014-12-07,16.233
2014-12-05,16.196
2014-12-04,16.52
2014-12-03,16.359
2014-12-02,16.408
2014-12-01,16.648
2014-11-30,14.758
2014-11-28,15.489
2014-11-27,16.252
2014-11-26,16.548
2014-11-25,16.554
2014-11-24,16.377
2014-11-23,16.462
2014-11-21,16.391
2014-11-20,16.133
2014-11-19,16.29
2014-11-18,16.17
2014-11-17,16.053
2014-11-16,16.227
2014-11-14,16.31
2014-11-13,15.617
2014-11-12,15.619
2014-11-11,15.664
2014-11-10,15.657
2014-11-09,15.69
2014-11-07,15.699
2014-11-06,15.392
2014-11-05,15.418
2014-11-04,15.927
2014-11-03,16.175
2014-11-02,15.953
2014-10-31,16.077
2014-10-30,16.391
2014-10-29,17.219
2014-10-28,17.185
2014-10-27,17.115
2014-10-26,17.15
2014-10-24,17.136
2014-10-23,17.114
2014-10-22,17.186
2014-10-21,17.504
2014-10-20,17.304
2014-10-19,17.267
2014-10-17,17.282
2014-10-16,17.388
2014-10-15,17.415
2014-10-14,17.353
2014-10-13,17.294
2014-10-12,17.505
2014-10-10,17.252
2014-10-09,17.367
2014-10-08,17.015
2014-10-07,17.191
2014-10-06,17.18
2014-10-05,16.755
2014-10-03,16.78
2014-10-02,17.001
2014-10-01,17.21
2014-09-30,17.006
2014-09-29,17.516
2014-09-28,17.545
2014-09-26,17.477
2014-09-25,17.379
2014-09-24,17.643
2014-09-23,17.713
2014-09-22,17.699
2014-09-21,17.773
2014-09-19,17.781
2014-09-18,18.452
2014-09-17,18.663
